pk_tempo;date_key;invoice_date;invoice_day;invoice_month;invoice_year;quarter
17/05/2017;17/05/2017;19/05/2017;19;05;2017;2
11/07/2017;11/07/2017;13/07/2017;13;07;2017;3
20/06/2017;20/06/2017;22/06/2017;22;06;2017;2
03/05/2017;03/05/2017;05/05/2017;05;05;2017;2
09/09/2018;09/09/2018;11/09/2018;11;09;2018;3
07/04/2018;07/04/2018;09/04/2018;09;04;2018;2
15/11/2018;15/11/2018;17/11/2018;17;11;2018;4
30/01/2018;30/01/2018;01/02/2018;01;02;2018;1
08/11/2018;08/11/2018;10/11/2018;10;11;2018;4
13/10/2018;13/10/2018;15/10/2018;15;10;2018;4
01/02/2019;01/02/2019;03/02/2019;03;02;2019;1
29/06/2018;29/06/2018;01/07/2018;01;07;2018;3
02/03/2017;02/03/2017;04/03/2017;04;03;2017;1
15/02/2019;15/02/2019;17/02/2019;17;02;2019;1
03/08/2017;03/08/2017;05/08/2017;05;08;2017;3
08/03/2017;08/03/2017;10/03/2017;10;03;2017;1
05/05/2017;05/05/2017;07/05/2017;07;05;2017;2
19/05/2018;19/05/2018;21/05/2018;21;05;2018;2
19/07/2018;19/07/2018;21/07/2018;21;07;2018;3
25/01/2019;25/01/2019;27/01/2019;27;01;2019;1
10/11/2017;10/11/2017;12/11/2017;12;11;2017;4
06/09/2017;06/09/2017;08/09/2017;08;09;2017;3
15/01/2018;15/01/2018;17/01/2018;17;01;2018;1
30/10/2017;30/10/2017;01/11/2017;01;11;2017;4
27/03/2017;27/03/2017;29/03/2017;29;03;2017;1
01/01/2018;01/01/2018;03/01/2018;03;01;2018;1
21/06/2018;21/06/2018;23/06/2018;23;06;2018;2
05/04/2017;05/04/2017;07/04/2017;07;04;2017;2
05/01/2019;05/01/2019;07/01/2019;07;01;2019;1
02/03/2018;02/03/2018;04/03/2018;04;03;2018;1
19/04/2018;19/04/2018;21/04/2018;21;04;2018;2
17/10/2017;17/10/2017;19/10/2017;19;10;2017;4
11/05/2017;11/05/2017;13/05/2017;13;05;2017;2
26/11/2018;26/11/2018;28/11/2018;28;11;2018;4
15/01/2017;15/01/2017;18/01/2017;18;01;2017;1
12/02/2017;12/02/2017;15/02/2017;15;02;2017;1
24/02/2018;24/02/2018;26/02/2018;26;02;2018;1
12/01/2018;12/01/2018;14/01/2018;14;01;2018;1
11/10/2017;11/10/2017;13/10/2017;13;10;2017;4
04/12/2017;04/12/2017;06/12/2017;06;12;2017;4
08/08/2017;08/08/2017;10/08/2017;10;08;2017;3
07/07/2018;07/07/2018;09/07/2018;09;07;2018;3
26/07/2018;26/07/2018;28/07/2018;28;07;2018;3
07/09/2017;07/09/2017;09/09/2017;09;09;2017;3
24/05/2017;24/05/2017;26/05/2017;26;05;2017;2
05/07/2018;05/07/2018;07/07/2018;07;07;2018;3
29/11/2018;29/11/2018;01/12/2018;01;12;2018;4
07/12/2018;07/12/2018;09/12/2018;09;12;2018;4
23/01/2017;23/01/2017;26/01/2017;26;01;2017;1
12/10/2017;12/10/2017;14/10/2017;14;10;2017;4
23/09/2018;23/09/2018;25/09/2018;25;09;2018;3
14/04/2018;14/04/2018;16/04/2018;16;04;2018;2
20/05/2018;20/05/2018;22/05/2018;22;05;2018;2
11/02/2018;11/02/2018;13/02/2018;13;02;2018;1
17/12/2018;17/12/2018;19/12/2018;19;12;2018;4
01/05/2017;01/05/2017;03/05/2017;03;05;2017;2
22/12/2018;22/12/2018;24/12/2018;24;12;2018;4
30/12/2017;30/12/2017;01/01/2018;01;01;2018;1
24/06/2018;24/06/2018;26/06/2018;26;06;2018;2
25/07/2017;25/07/2017;27/07/2017;27;07;2017;3
12/07/2018;12/07/2018;14/07/2018;14;07;2018;3
01/11/2018;01/11/2018;03/11/2018;03;11;2018;4
20/12/2017;20/12/2017;22/12/2017;22;12;2017;4
19/02/2018;19/02/2018;21/02/2018;21;02;2018;1
23/10/2017;23/10/2017;25/10/2017;25;10;2017;4
